ds;Energia
2024-09-01 00:00:00;0,0
2024-09-01 01:00:00;0,0
2024-09-01 02:00:00;0,0
2024-09-01 03:00:00;0,0
2024-09-01 04:00:00;0,0
2024-09-01 05:00:00;0,0
2024-09-01 06:00:00;0,0
2024-09-01 07:00:00;0,0
2024-09-01 08:00:00;0,0
2024-09-01 09:00:00;3,8921859957289615
2024-09-01 10:00:00;9,989259792867362
2024-09-01 11:00:00;19,10323939174995
2024-09-01 12:00:00;29,644350586840588
2024-09-01 13:00:00;38,99335747958416
2024-09-01 14:00:00;44,33713931144633
2024-09-01 15:00:00;46,682764340951344
2024-09-01 16:00:00;45,17044692487899
2024-09-01 17:00:00;39,430863019836025
2024-09-01 18:00:00;30,960899348566414
2024-09-01 19:00:00;22,54517572746367
2024-09-01 20:00:00;10,517079133171062
2024-09-01 21:00:00;3,78551899045821
2024-09-01 22:00:00;0,0
2024-09-01 23:00:00;0,0
2024-09-02 00:00:00;0,0
2024-09-02 01:00:00;0,0
2024-09-02 02:00:00;0,0
2024-09-02 03:00:00;0,0
2024-09-02 04:00:00;0,0
2024-09-02 05:00:00;0,0
2024-09-02 06:00:00;0,0
2024-09-02 07:00:00;0,0
2024-09-02 08:00:00;0,0
2024-09-02 09:00:00;5,8908553294855395
2024-09-02 10:00:00;27,467163228997006
2024-09-02 11:00:00;68,13688331695484
2024-09-02 12:00:00;99,55280338826825
2024-09-02 13:00:00;111,05315362218421
2024-09-02 14:00:00;109,8811324835158
2024-09-02 15:00:00;108,31693546179253
2024-09-02 16:00:00;104,35651551488237
2024-09-02 17:00:00;94,29075907471665
2024-09-02 18:00:00;77,01555282475907
2024-09-02 19:00:00;53,141665774599986
2024-09-02 20:00:00;19,031378110131453
2024-09-02 21:00:00;5,6551256038265745
2024-09-02 22:00:00;0,0
2024-09-02 23:00:00;0,0
2024-09-03 00:00:00;0,0
2024-09-03 01:00:00;0,0
2024-09-03 02:00:00;0,0
2024-09-03 03:00:00;0,0
2024-09-03 04:00:00;0,0
2024-09-03 05:00:00;0,0
2024-09-03 06:00:00;0,0
2024-09-03 07:00:00;0,0
2024-09-03 08:00:00;0,0
2024-09-03 09:00:00;8,458378107848358
2024-09-03 10:00:00;31,755981444577102
2024-09-03 11:00:00;71,34351640345837
2024-09-03 12:00:00;100,2073512316055
2024-09-03 13:00:00;110,67207068804294
2024-09-03 14:00:00;109,47592968348019
2024-09-03 15:00:00;106,26479464772596
2024-09-03 16:00:00;100,63002360168181
2024-09-03 17:00:00;90,57247740331067
2024-09-03 18:00:00;73,99234566243754
2024-09-03 19:00:00;50,31508934201341
2024-09-03 20:00:00;18,437898501386886
2024-09-03 21:00:00;5,84905265532612
2024-09-03 22:00:00;0,0
2024-09-03 23:00:00;0,0
2024-09-04 00:00:00;0,0
2024-09-04 01:00:00;0,0
2024-09-04 02:00:00;0,0
2024-09-04 03:00:00;0,0
2024-09-04 04:00:00;0,0
2024-09-04 05:00:00;0,0
2024-09-04 06:00:00;0,0
2024-09-04 07:00:00;0,0
2024-09-04 08:00:00;0,0
2024-09-04 09:00:00;9,517372724789297
2024-09-04 10:00:00;32,523538704971436
