,ds,Production,Solar Consumption,Solar Diff,Total Consumption,Carbon Intensity,CO2 Emmitted,Current Battery Level,Battery Charge,Battery Discharge,Reduction Energy Consumed From Grid,CO2 Optimised
0,2024-09-01 00:00:00,0.0,0.0,0.0,110.85588836669922,170.04,18849.935257873534,0.0,0.0,0.0,110.85588836669922,18849.935257873534
1,2024-09-01 01:00:00,0.0,0.0,0.0,107.34120178222656,175.13,18798.66466812134,0.0,0.0,0.0,107.34120178222656,18798.66466812134
2,2024-09-01 02:00:00,0.0,0.0,0.0,105.55030822753906,175.53,18527.24560317993,0.0,0.0,0.0,105.55030822753906,18527.24560317993
3,2024-09-01 03:00:00,0.0,0.0,0.0,106.84010314941406,174.22,18613.682770690917,0.0,0.0,0.0,106.84010314941406,18613.682770690917
4,2024-09-01 04:00:00,0.0,0.0,0.0,105.87979125976562,175.05,18534.257460021974,0.0,0.0,0.0,105.87979125976562,18534.257460021974
5,2024-09-01 05:00:00,0.0,0.0,0.0,106.00039672851562,170.19,18040.207519226075,0.0,0.0,0.0,106.00039672851562,18040.207519226075
6,2024-09-01 06:00:00,0.0,0.0,0.0,105.4976806640625,159.95,16874.354022216794,0.0,0.0,0.0,105.4976806640625,16874.354022216794
7,2024-09-01 07:00:00,0.0,0.0,0.0,101.1223373413086,123.35,12473.440311050414,0.0,0.0,0.0,101.1223373413086,12473.440311050414
8,2024-09-01 08:00:00,1.4430765699599604,0.0,1.4430765699599604,97.69123840332033,81.8,7991.143301391602,1.4430765699599604,1.4430765699599604,0.0,97.69123840332033,7991.143301391602
9,2024-09-01 09:00:00,5.37008083276614,6.05,-0.6799191672338596,64.4134292602539,66.29,4269.966225662231,1.4430765699599604,0.0,0.0,64.4134292602539,4269.966225662231
10,2024-09-01 10:00:00,11.460527140278131,20.56,-9.099472859721867,43.48149871826172,57.99,2521.492110671997,1.4430765699599604,0.0,0.0,43.48149871826172,2521.492110671997
11,2024-09-01 11:00:00,19.88961635083565,26.05,-6.160383649164352,40.48365020751953,55.83,2260.2021910858152,1.4430765699599604,0.0,0.0,40.48365020751953,2260.2021910858152
12,2024-09-01 12:00:00,29.85548151583388,13.14,16.71548151583388,55.56610870361328,48.66,2703.846849517822,18.15855808579384,16.71548151583388,0.0,55.56610870361328,2703.846849517822
13,2024-09-01 13:00:00,39.4066884189964,31.26,8.146688418996401,47.57512664794922,47.05,2238.4097087860105,26.30524650479024,8.146688418996401,0.0,47.57512664794922,2238.4097087860105
14,2024-09-01 14:00:00,44.47193323673171,36.67,7.801933236731706,41.42887115478516,47.9,1984.4429283142092,34.107179741521946,7.801933236731706,0.0,41.42887115478516,1984.4429283142092
15,2024-09-01 15:00:00,46.752264037742535,16.85,29.902264037742533,47.58536529541016,54.81,2608.1538718414313,64.00944377926447,29.902264037742533,0.0,47.58536529541016,2608.1538718414313
16,2024-09-01 16:00:00,46.28452656270482,14.13,32.15452656270482,54.394168853759766,68.23,3711.314140892029,96.16397034196929,32.15452656270482,0.0,54.394168853759766,3711.314140892029
17,2024-09-01 17:00:00,40.98671296240146,12.21,28.77671296240146,55.62261962890625,111.68,6211.93416015625,100.0,3.8360296580307107,0.0,55.62261962890625,6211.93416015625
18,2024-09-01 18:00:00,31.29491479099749,83.43,-52.13508520900252,9.58168601989746,154.65,1481.8077429771422,90.41831398010254,0.0,9.58168601989746,0.0,0.0
19,2024-09-01 19:00:00,21.816614834970917,46.62,-24.80338516502908,26.942745208740234,175.0,4714.980411529541,63.475568771362305,0.0,26.942745208740234,0.0,0.0
20,2024-09-01 20:00:00,9.692936202141611,19.23,-9.537063797858389,53.62102508544922,175.76,9424.431369018554,9.854543685913086,0.0,53.62102508544922,0.0,0.0
21,2024-09-01 21:00:00,3.220681722463157,2.43,0.790681722463157,73.34294128417969,168.76,12377.354771118164,0.0,0.0,9.854543685913086,63.4883975982666,10714.30197868347
22,2024-09-01 22:00:00,0.0,-0.07,0.07,106.42677307128906,155.6,16560.005889892578,0.0,0.0,0.0,106.42677307128906,16560.005889892578
23,2024-09-01 23:00:00,0.0,0.0,0.0,104.55496215820312,152.98,15994.818110961913,0.0,0.0,0.0,104.55496215820312,15994.818110961913
24,2024-09-02 00:00:00,0.0,0.0,0.0,104.53553771972656,156.26,16334.723124084472,0.0,0.0,0.0,104.53553771972656,16334.723124084472
25,2024-09-02 01:00:00,0.0,0.0,0.0,100.90167999267578,164.21,16569.06487159729,0.0,0.0,0.0,100.90167999267578,16569.06487159729
26,2024-09-02 02:00:00,0.0,0.0,0.0,103.88633728027344,169.97,17657.560747528078,0.0,0.0,0.0,103.88633728027344,17657.560747528078
27,2024-09-02 03:00:00,0.0,0.0,0.0,100.4875030517578,168.78,16960.28076507568,0.0,0.0,0.0,100.4875030517578,16960.28076507568
28,2024-09-02 04:00:00,0.0,0.0,0.0,102.48749542236328,170.79,17503.839343185424,0.0,0.0,0.0,102.48749542236328,17503.839343185424
29,2024-09-02 05:00:00,0.0,0.0,0.0,99.7064208984375,172.28,17177.42219238281,0.0,0.0,0.0,99.7064208984375,17177.42219238281
30,2024-09-02 06:00:00,0.0,0.0,0.0,106.79298400878906,183.41,19586.901197052,0.0,0.0,0.0,106.79298400878906,19586.901197052
31,2024-09-02 07:00:00,0.0,0.0,0.0,149.03890991210938,149.2,22236.605358886718,0.0,0.0,0.0,149.03890991210938,22236.605358886718
32,2024-09-02 08:00:00,0.0,0.26,-0.26,540.367431640625,98.84,53409.91694335938,0.0,0.0,0.0,540.367431640625,53409.91694335938
33,2024-09-02 09:00:00,11.016707696023955,6.74,4.276707696023955,579.0808715820312,78.44,45423.10356689453,4.276707696023955,4.276707696023955,0.0,579.0808715820312,45423.10356689453
34,2024-09-02 10:00:00,33.56729990244933,34.64,-1.0727000975506726,599.533447265625,73.54,44089.68971191406,4.276707696023955,0.0,0.0,599.533447265625,44089.68971191406
35,2024-09-02 11:00:00,67.96033118965309,70.8,-2.8396688103469074,298.34246826171875,74.8,22316.01662597656,4.276707696023955,0.0,0.0,298.34246826171875,22316.01662597656
36,2024-09-02 12:00:00,97.0133573562202,107.86,-10.846642643779802,344.21051025390625,70.53,24277.16728820801,4.276707696023955,0.0,0.0,344.21051025390625,24277.16728820801
37,2024-09-02 13:00:00,109.66747462454796,125.28,-15.612525375452037,349.2796325683594,71.95,25130.669563293457,4.276707696023955,0.0,0.0,349.2796325683594,25130.669563293457
38,2024-09-02 14:00:00,106.67522463503744,127.19,-20.51477536496256,309.8568725585937,73.73,22845.747213745115,4.276707696023955,0.0,0.0,309.8568725585937,22845.747213745115
39,2024-09-02 15:00:00,104.28840699795082,111.49,-7.201593002049179,151.9285888671875,81.17,12332.04355834961,4.276707696023955,0.0,0.0,151.9285888671875,12332.04355834961
40,2024-09-02 16:00:00,101.73896271589514,123.61,-21.871037284104858,149.67266845703125,95.2,14248.838037109375,4.276707696023955,0.0,0.0,149.67266845703125,14248.838037109375
41,2024-09-02 17:00:00,91.26437272432244,116.12,-24.855627275677563,186.887451171875,119.28,22291.93517578125,4.276707696023955,0.0,0.0,186.887451171875,22291.93517578125
42,2024-09-02 18:00:00,71.4023199796894,95.04,-23.63768002031061,204.197265625,156.81,32020.17322265625,0.0,0.0,4.276707696023955,199.92055792897605,31349.542688842736
43,2024-09-02 19:00:00,48.61050630809356,59.92,-11.30949369190644,263.8353271484375,153.39,40469.700831298826,0.0,0.0,0.0,263.8353271484375,40469.700831298826
44,2024-09-02 20:00:00,18.198564251517823,19.53,-1.3314357484821784,295.2064514160156,141.52,41777.61700439453,0.0,0.0,0.0,295.2064514160156,41777.61700439453
45,2024-09-02 21:00:00,2.865547713638224,1.85,1.0155477136382238,108.08871459960938,128.65,13905.613133239747,0.0,1.0155477136382238,1.0155477136382238,107.07316688597115,13774.962919880189
46,2024-09-02 22:00:00,0.0,-0.03,0.03,127.0813217163086,121.33,15418.776763839722,0.0,0.03,0.03,127.05132171630859,15415.136863839722
47,2024-09-02 23:00:00,0.0,0.0,0.0,112.2839813232422,115.75,12996.870838165285,0.0,0.0,0.0,112.2839813232422,12996.870838165285
48,2024-09-03 00:00:00,0.0,0.0,0.0,106.626220703125,115.25,12288.671936035156,0.0,0.0,0.0,106.626220703125,12288.671936035156
49,2024-09-03 01:00:00,0.0,0.0,0.0,106.90274047851562,116.68,12473.411759033204,0.0,0.0,0.0,106.90274047851562,12473.411759033204
50,2024-09-03 02:00:00,0.0,0.0,0.0,108.76618957519533,118.27,12863.777241058351,0.0,0.0,0.0,108.76618957519533,12863.777241058351
